record_id,date,state,district,latitude,longitude,rainfall_3h_mm,rainfall_24h_mm,rainfall_7d_mm,rainfall_forecast_72h_mm,soil_moisture_pct,soil_depth_cm,slope_angle_deg,elevation_m,ndvi,lithology_risk,land_use,distance_to_road_m,distance_to_stream_m,drainage_density_km_km2,curvature_index,road_cutting_index,seismicity_index,historical_landslides_5yr,crack_report_count,sensor_vibration_mm_s,risk_score,risk_level,landslide_event_next_72h,data_split
NER-000020,2021-01-20,Meghalaya,North Tripura,25.08242,90.91435,18.6,62.7,149.6,169.2,28.1,181.9,34.7,1995.1,0.272,low,forest,559.1,31.4,1.401,-0.965,0.95,5.224,2,1,2.63,0.395,low,1,test
NER-000021,2021-01-21,Mizoram,Tawang,23.82829,92.92861,1.4,21.4,102.9,55.9,26.2,122.1,16.7,973.7,0.591,high,settlement,985.6,675.3,0.822,0.786,0.374,4.12,2,1,4.01,0.295,low,0,train
NER-000022,2021-01-22,Nagaland,East Siang,25.79833,93.67421,45.9,69.3,343.9,223.1,43.4,165.7,44.3,1320.1,0.719,low,settlement,1706.1,1572.4,4.206,-0.357,0.911,3.47,4,1,1.81,0.485,medium,1,train
NER-000023,2021-01-23,Sikkim,Dima Hasao,27.60302,89.00781,14.7,33.7,167.3,55.2,30.7,18.8,42.4,1130.9,0.769,high,road corridor,1289.7,690,4.488,-0.567,1,2.195,5,1,4.76,0.487,medium,0,train
NER-000024,2021-01-24,Tripura,Tamenglong,24.27136,91.66945,10.5,22,146.8,58.8,32.7,124.3,44.6,1171.3,0.414,high,agriculture,1199.6,131.3,1.27,0.96,0.764,2.995,1,1,3.61,0.473,medium,0,train
NER-000025,2021-01-25,Arunachal Pradesh,East Khasi Hills,27.28585,93.68243,20.6,48.7,202.6,112.6,44.6,103.8,38.8,4074.7,0.199,low,forest,280.7,1317.1,4.503,-0.563,0.003,3.103,4,2,2.27,0.393,low,0,train
NER-000026,2021-01-26,Assam,Aizawl,25.74931,93.10285,20.2,83.4,213.8,127.6,41.3,98.9,4.6,2336.3,0.109,medium,road corridor,887.1,1457.5,1.848,-0.461,1,1.519,4,2,2.82,0.39,low,0,train
NER-000027,2021-01-27,Manipur,Kohima,25.32272,93.87348,24,37.1,128.5,96.6,28,119.3,44.7,2291.8,0.257,low,forest,1045.1,163.2,7.312,0.943,0.003,3.266,3,0,4.62,0.375,low,0,train
NER-000028,2021-01-28,Meghalaya,West Sikkim,25.44818,91.2618,61.2,198.5,950,482.6,64.6,187.4,40.3,2210.6,0.554,low,barren slope,1342,1515.3,3.986,-0.307,0.221,2.56,3,0,3.72,0.627,medium,0,train
NER-000029,2021-01-29,Mizoram,Lunglei,23.44585,92.18678,80.8,242.7,866.4,680,58.1,102.7,29.8,2181.4,0.521,low,forest,36.7,505.6,4.326,-0.778,0.742,1.554,0,3,0.57,0.68,medium,1,train
NER-000030,2021-01-30,Nagaland,North Tripura,25.94926,94.66411,50.2,186.5,381.1,292.1,49.5,107.4,29.7,2538.9,0.632,high,settlement,597.7,573.7,0.665,-0.612,0.192,1.928,1,0,1.84,0.52,medium,0,train
NER-000031,2021-01-31,Sikkim,Tawang,27.91768,88.82455,80.8,263.2,697.5,605.3,48.5,136.1,32.4,1435.2,0.153,medium,barren slope,675.1,909.7,3.837,0.371,0.974,2.354,3,1,4.06,0.692,medium,1,train
NER-000032,2021-02-01,Tripura,East Siang,24.13994,90.68518,96.2,262.6,950,239.7,58.8,46.7,51.6,3182.5,0.737,low,road corridor,174.4,1048,4.653,0.749,0.721,4.739,2,3,4.08,0.734,high,1,train
NER-000033,2021-02-02,Arunachal Pradesh,Dima Hasao,27.51855,94.07812,84.8,257.8,712.5,252.6,58.3,161.7,42.2,1224.6,0.367,medium,road corridor,132.9,496.7,1.357,-0.361,0.754,1.9,4,1,5.62,0.681,medium,1,train
NER-000034,2021-02-03,Assam,Tamenglong,26.49827,93.26644,49.6,84.8,452.7,258.4,42.6,42.7,31.8,2238.5,0.602,medium,settlement,447.7,256.7,4.462,-0.802,0.702,4.689,3,2,1.76,0.5,medium,0,train
NER-000035,2021-02-04,Manipur,East Khasi Hills,25.07818,94.10202,64.3,102.9,307.5,129.7,34.8,238,21.4,349.3,0.517,low,settlement,1363.8,722.4,5.142,0.375,0.854,5.118,4,2,3.64,0.395,low,0,validation
NER-000036,2021-02-05,Meghalaya,Aizawl,25.9213,91.10494,65.8,158.8,759.7,277.1,51.7,70.4,16.3,2510.2,0.701,low,road corridor,1514.5,424.5,4.713,-0.784,1,4.349,2,1,4.74,0.504,medium,0,validation
NER-000037,2021-02-06,Mizoram,Kohima,23.15083,92.26919,80.4,155,649.2,195.3,55.6,148.7,14.4,3867.8,0.253,low,barren slope,113.7,476.6,7.447,-0.398,0.503,4.745,0,0,3.53,0.503,medium,1,validation
NER-000038,2021-02-07,Nagaland,West Sikkim,25.9971,93.72428,111.3,341.8,950,680,71.1,195.6,43.9,4004.4,0.595,medium,forest,581.4,841.1,4.904,0.732,0.368,2.97,4,2,1.85,0.826,high,1,test
NER-000039,2021-02-08,Sikkim,Lunglei,27.33425,88.80754,95.8,172.9,642.1,478.7,55.7,232.3,3.5,1493.4,0.282,low,settlement,763.5,454.6,3.663,0.219,0.174,1.45,3,0,1.84,0.484,medium,0,test
NER-000040,2021-02-09,Tripura,North Tripura,23.82068,91.52675,24,62.7,297.5,189.1,37.7,54.8,9.6,2780.7,0.86,high,road corridor,234.7,886.5,4.189,0.13,1,4.311,0,3,1.59,0.372,low,0,test
NER-000041,2021-02-10,Arunachal Pradesh,Tawang,27.83242,93.61773,109.8,278.1,950,648.7,76.3,27.5,49.2,1123.5,0.891,medium,forest,1769.1,847.8,0.979,-0.181,0.697,1.985,3,2,1.59,0.817,high,1,train
NER-000042,2021-02-11,Assam,East Siang,26.65344,93.42674,11.6,58.6,167.1,150.8,29.8,206.5,8.5,215.8,0.283,low,forest,668.2,1161.2,2.959,-0.11,0.481,2.474,4,1,3.83,0.26,low,0,train
NER-000043,2021-02-12,Manipur,Dima Hasao,24.66192,93.67217,43,96.4,479.5,289.1,38.2,55.8,29.5,3678.5,0.735,high,settlement,959.3,332,1.937,0.144,0.325,0.588,2,1,4.67,0.492,medium,0,train
NER-000044,2021-02-13,Meghalaya,Tamenglong,25.72659,90.96538,93.1,201.3,607.6,581.5,60.5,69.7,33.5,2361.5,0.803,high,barren slope,997.6,1128.8,1.23,0.847,0.867,3.513,1,3,1.56,0.679,medium,1,train
NER-000045,2021-02-14,Mizoram,East Khasi Hills,23.5022,92.09529,58.6,153.2,593.5,298.1,61.6,59.9,6.6,553.9,0.86,low,agriculture,944.8,1135.7,6.706,-0.841,0.221,1.414,1,2,3.91,0.47,medium,1,train
NER-000046,2021-02-15,Nagaland,Aizawl,26.28816,94.30642,94.4,171.3,329.5,328.1,43.1,159.5,7.3,1262.3,0.249,medium,forest,687.6,1243,1.14,-0.919,0.147,4.05,1,2,3.93,0.438,low,0,train
NER-000047,2021-02-16,Sikkim,Kohima,27.18946,88.12508,58.9,185,591.6,287.3,56.4,67.9,46.4,1813.2,0.688,high,forest,280.2,1049.4,4.848,-0.253,0.998,3.222,5,2,5.16,0.676,medium,0,train
NER-000048,2021-02-17,Tripura,West Sikkim,24.09385,91.31341,82.1,259.6,950,680,70.9,64.1,49.7,3276,0.281,high,barren slope,1091.1,1586.5,6.251,-0.577,0.215,0.416,3,0,1.59,0.857,high,1,train
NER-000049,2021-02-18,Arunachal Pradesh,Lunglei,27.45441,94.15589,79.5,193,720.1,266.2,51.6,140.9,27.5,1627.2,0.905,medium,forest,892.7,1085.8,0.402,-0.963,0.33,4.084,0,0,2.92,0.517,medium,0,train
NER-000050,2021-02-19,Assam,North Tripura,26.74157,93.3081,85.1,275.5,629.6,568.4,60.4,185.2,49.9,2770.1,0.484,low,forest,1714.9,210.6,3.054,-0.401,0.724,2.049,5,1,5.59,0.706,high,1,train
NER-000051,2021-02-20,Manipur,Tawang,24.90364,94.36238,86.2,194,790.3,169.3,67.7,206.7,29.8,2910.2,0.788,medium,settlement,1263.6,81.6,4.568,0.351,0.618,5.105,0,0,3.86,0.575,medium,1,train
NER-000052,2021-02-21,Meghalaya,East Siang,25.54982,91.71004,26.1,57.6,327.7,222.8,43.8,178.1,13.7,2819.9,0.187,high,agriculture,188.9,745.7,4.984,0.985,0.039,1.915,4,2,3.77,0.396,low,0,train
NER-000053,2021-02-22,Mizoram,Dima Hasao,24.0449,93.20486,96.9,261.9,950,485.8,68.9,135.7,28.1,3592.9,0.78,low,road corridor,491.1,164.2,3.3,-0.22,1,2.663,0,2,4.02,0.697,medium,1,train
NER-000054,2021-02-23,Nagaland,Tamenglong,25.87967,94.35754,89.7,318.3,950,509.2,72.6,105.9,9.4,1608.2,0.543,low,forest,1321.1,572.7,5.64,-0.002,0.254,3.688,4,2,3.46,0.668,medium,0,train
NER-000055,2021-02-24,Sikkim,East Khasi Hills,27.25598,89.21579,50.7,139.3,361.4,308.5,40.6,58.9,16.8,1441.4,0.346,medium,settlement,671.2,755.5,2.002,-0.618,0.783,0.663,2,1,0.75,0.459,medium,0,validation
NER-000056,2021-02-25,Tripura,Aizawl,23.90068,91.40977,35.5,83.7,388.3,57.9,38,11.6,6.5,1436.7,0.228,high,forest,1135.8,1025.7,1.813,0.106,0.266,0.699,0,1,2.87,0.421,low,0,validation
NER-000057,2021-02-26,Arunachal Pradesh,Kohima,27.89742,93.66753,0.8,6,73.8,64.9,38.1,238.4,28,1163.3,0.229,low,road corridor,415.1,250.3,1.337,-0.992,0.367,0.8,1,2,4.57,0.241,low,0,validation
NER-000058,2021-02-27,Assam,West Sikkim,26.00038,92.33019,98.8,240.7,558.6,331.1,42,219.1,48.2,3763.8,0.529,high,settlement,1538.5,1344.6,6.016,0.466,0.911,1.155,2,1,2.38,0.66,medium,0,test
NER-000059,2021-02-28,Manipur,Lunglei,25.06898,93.42143,56,147,611.8,171.1,58.3,199,42.2,3474.6,0.822,high,settlement,1044.1,586.8,6.333,0.748,0.701,2.352,4,3,3.55,0.59,medium,1,test
NER-000060,2021-03-01,Meghalaya,North Tripura,25.33767,91.95118,29.8,103.4,501.1,331.3,43.1,186.9,23,2463.9,0.734,high,settlement,1758,305.2,4.725,-0.816,0.17,5.11,3,0,2.73,0.464,medium,0,test
NER-000061,2021-03-02,Mizoram,Tawang,23.30981,93.25801,70.6,234.3,762.2,196.4,66.6,106.9,36.7,519.2,0.801,high,road corridor,331.8,352.4,3.101,0.008,0.471,0.975,1,1,4.82,0.63,medium,0,train
NER-000062,2021-03-03,Nagaland,East Siang,25.83981,94.11996,66.7,92.4,375.8,122.7,33,7.4,14.7,3763.5,0.418,medium,barren slope,670.8,739,1.022,-0.797,0.428,1.47,0,1,2.82,0.401,low,0,train
NER-000063,2021-03-04,Sikkim,Dima Hasao,27.94241,88.68857,2.3,21.9,75.7,35.4,32.1,120.2,25.1,2028.9,0.162,medium,agriculture,718.1,350.8,5.361,-0.793,0.628,2.27,4,1,2.68,0.36,low,0,train
NER-000064,2021-03-05,Tripura,Tamenglong,23.64333,90.92571,46.7,64.3,248.9,101.6,40.6,100.4,6.3,3748.8,0.33,medium,agriculture,1033.1,994.2,2.95,0.813,0.805,0.75,2,3,4.28,0.404,low,0,train
NER-000065,2021-03-06,Arunachal Pradesh,East Khasi Hills,27.4603,94.04791,19.4,69.4,156.6,112.1,29.8,179.1,38.3,2795.9,0.2,low,settlement,1480.7,894.8,2.87,0.105,0.737,2.866,3,1,2.22,0.411,low,0,train
NER-000066,2021-03-07,Assam,Aizawl,25.67851,93.50798,105.6,294.8,950,383.1,70,168.9,15.9,679.4,0.219,high,road corridor,1258.8,453.2,1.365,0.79,0.891,3.848,0,3,1.36,0.696,medium,1,train
NER-000067,2021-03-08,Manipur,Kohima,25.05951,93.96838,10.4,50.6,137.7,149.6,22.4,41.8,47.6,1211,0.429,low,forest,1788.9,395,1.555,0.748,0.306,2.015,1,0,3.74,0.359,low,0,train
NER-000068,2021-03-09,Meghalaya,West Sikkim,25.39777,91.94635,91.3,211.6,942.2,219.2,60.8,87.8,27.6,1459.5,0.239,high,barren slope,1671.1,1560.3,3.005,0.158,0.447,1.343,2,2,2.22,0.716,high,0,train
NER-000069,2021-03-10,Mizoram,Lunglei,23.21374,92.53514,107.9,258.8,950,621,78.5,94.3,25.1,3829.1,0.736,medium,forest,279,29.4,2.06,-0.957,0.762,1.707,2,1,1.87,0.697,medium,1,train
NER-000070,2021-03-11,Nagaland,North Tripura,25.9477,93.53132,104.6,402.3,788.4,384.8,70.8,13.7,10.2,1939.8,0.124,low,agriculture,95.1,385.6,1.958,0.572,0.423,3.301,0,1,1.88,0.622,medium,0,train
NER-000071,2021-03-12,Sikkim,Tawang,26.9933,89.02267,40.8,135.7,608.7,346.3,49,20.8,45.1,3765.8,0.485,high,settlement,127.8,139.6,4.289,0.961,0.399,0.545,3,0,4.74,0.629,medium,0,train
NER-000072,2021-03-13,Tripura,East Siang,24.0849,91.91644,100,293.1,806.3,680,54.6,5,26.3,2026.1,0.285,low,forest,128.9,815.2,6.339,-0.667,0.028,5.096,4,0,4.92,0.697,medium,1,train
NER-000073,2021-03-14,Arunachal Pradesh,Dima Hasao,27.82783,93.31259,73.9,146.3,698.3,129.7,66.9,32.4,31.5,2030.7,0.354,medium,settlement,1672,1111.9,1.464,-0.644,0.735,2.394,3,2,4.98,0.6,medium,1,train
NER-000074,2021-03-15,Assam,Tamenglong,25.73554,93.05176,38.5,120.4,480.8,142.5,41,50.4,36.8,2750.2,0.668,low,road corridor,1575.1,1326.9,3.371,-0.976,0.475,4.753,5,1,4.28,0.463,medium,0,train
NER-000075,2021-03-16,Manipur,East Khasi Hills,24.31275,93.29264,87.9,103.1,360.2,115.1,48.2,88.5,36.7,2692.6,0.3,medium,settlement,526.5,770,7.487,-0.583,0.932,3.036,4,1,2.41,0.599,medium,1,validation
NER-000076,2021-03-17,Meghalaya,Aizawl,25.29869,90.99841,19.8,78.2,182.7,78.8,36.9,138.7,39.9,1561.1,0.712,high,forest,1756.3,606.6,1.576,-0.227,0.575,3.552,2,1,5.77,0.421,low,0,validation
NER-000077,2021-03-18,Mizoram,Kohima,23.55942,92.63697,15.7,60.9,206.4,226.9,38.5,250,20.3,2200.3,0.257,low,agriculture,173.1,1038.6,0.803,0.742,0.277,2.098,1,2,2.35,0.331,low,0,validation
NER-000078,2021-03-19,Nagaland,West Sikkim,25.79338,93.52456,47.3,176,538.5,167.5,45.5,118,4.9,2099.1,0.391,high,barren slope,531.6,1271.8,4.068,0.136,0.009,0.398,3,2,1.7,0.47,medium,1,test
NER-000079,2021-03-20,Sikkim,Lunglei,27.18912,88.16764,29,57,186.6,42.1,30.4,75,11.2,1316.1,0.276,high,road corridor,1327.9,1547.7,3.773,0.039,1,3.493,0,2,2.85,0.404,low,0,test
NER-000080,2021-03-21,Tripura,North Tripura,24.14942,91.58251,2.1,19.1,117,67.2,31.2,198.6,41.3,1865.6,0.681,medium,agriculture,40.9,534.4,0.558,0.612,0.647,0.957,3,2,4.41,0.335,low,1,test
NER-000081,2021-03-22,Arunachal Pradesh,Tawang,27.47072,93.39745,11.7,41.3,100.3,92.8,40.4,56.8,14.9,3075.3,0.084,high,barren slope,394.5,913,5.56,0.444,0.523,4.374,2,1,2.05,0.369,low,0,train
NER-000082,2021-03-23,Assam,East Siang,25.94199,93.36715,54.9,150.7,602.2,349.8,61.6,213.1,20.8,2504.5,0.146,medium,agriculture,970.8,1300.9,7.257,-0.221,0.191,4.81,1,0,3.97,0.538,medium,0,train
NER-000083,2021-03-24,Manipur,Dima Hasao,25.10214,93.25391,48.2,108.8,307.4,156.4,36.3,12.6,10.2,837,0.571,medium,agriculture,596,907.1,5.907,-0.522,0.845,4.109,3,1,0.51,0.402,low,1,train
NER-000084,2021-03-25,Meghalaya,Tamenglong,24.96994,91.35556,21.7,89.8,427.8,207.9,52,129.1,21.6,2045.5,0.909,medium,road corridor,728.5,642.5,1.392,-0.946,1,2.115,2,3,3.69,0.467,medium,0,train
NER-000085,2021-03-26,Mizoram,East Khasi Hills,24.23555,92.58453,84.1,311,636.1,272.9,64.1,91.7,34.5,1142.4,0.552,high,agriculture,1677.3,762.2,4.633,-0.383,0.561,1.767,1,1,3.57,0.687,medium,1,train
NER-000086,2021-03-27,Nagaland,Aizawl,25.87784,94.72794,78.2,251.8,950,290.8,75.6,179.7,30,1628.9,0.767,high,settlement,702.1,296.9,5.827,0.084,0.973,0.799,2,2,4.55,0.703,high,1,train
NER-000087,2021-03-28,Sikkim,Kohima,27.5463,88.64334,25.7,43.6,242.3,70,40.2,183.8,14.8,78.3,0.428,medium,settlement,491.5,742.3,2.531,-0.508,0.013,3.123,0,2,2.32,0.318,low,0,train
NER-000088,2021-03-29,Tripura,West Sikkim,24.22188,91.36973,71.5,244.5,950,173.4,69.1,143.3,23.8,2321.9,0.514,high,barren slope,1068.6,920.3,2.589,0.753,0.89,5.497,4,3,2.64,0.724,high,1,train
NER-000089,2021-03-30,Arunachal Pradesh,Lunglei,27.14562,93.65868,48.2,193.7,637.8,445.9,45.8,209.1,30.4,2578.5,0.298,medium,settlement,671.9,633.5,6.373,-0.289,0.875,0.425,5,3,4.29,0.609,medium,0,train
NER-000090,2021-03-31,Assam,North Tripura,25.87933,92.65505,76.6,170.2,433.6,343.3,38.7,181.6,46.9,156.2,0.728,medium,forest,1098.7,826.2,3.798,-0.18,0.284,0.775,1,0,5.36,0.53,medium,1,train
NER-000091,2021-04-01,Manipur,Tawang,24.83708,93.78221,76.8,199.3,537.1,541.3,56.2,54.6,27.9,3360.9,0.818,low,road corridor,877.1,1123.2,1.517,-0.688,0.424,3.681,4,0,1.43,0.558,medium,1,train
NER-000092,2021-04-02,Meghalaya,East Siang,25.80195,91.71128,10.5,68.2,363.4,195.9,43.8,26.7,29.7,3777.6,0.48,medium,forest,1369.4,804.2,2.61,0.182,0.777,1.603,2,3,3.48,0.481,medium,0,train
NER-000093,2021-04-03,Mizoram,Dima Hasao,24.11675,92.71917,51.5,96.3,271.4,198.3,40.3,105,16.8,2671.5,0.177,medium,barren slope,1098.1,96.3,1.629,0.837,0.773,2.708,2,1,1.45,0.413,low,0,train
NER-000094,2021-04-04,Nagaland,Tamenglong,26.51302,93.56504,30.3,107.2,273.6,346.9,46.6,213,41.1,1537,0.453,medium,barren slope,702.8,665.5,1.26,0.761,0.116,3.104,1,0,5.69,0.438,low,0,train
NER-000095,2021-04-05,Sikkim,East Khasi Hills,27.7172,88.43994,55.7,220,599.2,334.8,50,58.8,10.4,3989.8,0.448,low,agriculture,102.4,1392.3,0.305,0.028,0.416,1.697,0,0,0.82,0.496,medium,0,validation
NER-000096,2021-04-06,Tripura,Aizawl,23.94817,91.76927,104,210.7,929.6,221.5,70.7,55.7,42,4037.7,0.504,medium,agriculture,398.4,274.1,6.712,-0.986,0.499,2.818,5,0,4.03,0.76,high,0,validation
NER-000097,2021-04-07,Arunachal Pradesh,Kohima,27.69513,93.47277,77.5,293.2,950,498.4,65.3,144.6,7.4,1826.2,0.104,high,settlement,170.7,933,7.095,0.152,0.834,0.296,4,3,3.15,0.71,high,0,validation
NER-000098,2021-04-08,Assam,West Sikkim,26.03993,92.71169,20.2,28.8,138.5,52,31.7,103.1,20.5,3604.7,0.813,high,settlement,1396,278.6,1.219,0.07,0.963,0.971,0,1,3.7,0.362,low,0,test
NER-000099,2021-04-09,Manipur,Lunglei,24.86288,94.17786,95,368.3,950,205.2,68.3,5,12.4,260,0.892,high,road corridor,1175,1261.4,7.349,0.954,0.765,5.207,0,1,1.78,0.693,medium,1,test
NER-000100,2021-04-10,Meghalaya,North Tripura,25.1461,91.10438,66.7,223.6,588,308.4,51.1,175.5,20.9,1080.4,0.801,low,forest,1552.4,950.3,4.587,0.493,0.838,5.026,2,1,3.93,0.513,medium,0,test
NER-000101,2021-04-11,Mizoram,Tawang,23.26357,92.10255,24.8,66.6,305.8,83.1,44.3,228.9,48.4,1245.3,0.865,high,forest,154.7,261.2,6.449,0.227,0.338,4.048,4,0,4.05,0.489,medium,0,train
NER-000102,2021-04-12,Nagaland,East Siang,25.62177,93.95473,76.4,169.8,696,466.3,66.6,119.7,15.8,2386.6,0.788,low,road corridor,209.3,722.5,1.843,0.667,0.606,1.734,2,0,2.87,0.534,medium,1,train
NER-000103,2021-04-13,Sikkim,Dima Hasao,26.8901,88.81792,109.3,341.1,723.9,275.2,55.8,201.5,11.4,3332.3,0.113,low,road corridor,1774.8,312.9,5.163,0.011,1,1.233,0,3,1.4,0.609,medium,0,train
NER-000104,2021-04-14,Tripura,Tamenglong,23.33514,91.01759,62.5,94.3,415.4,183.4,36.9,114,14.8,1113.3,0.606,high,settlement,1078.3,809.7,6.411,-0.19,0.733,1.714,1,2,1.05,0.446,low,0,train
NER-000105,2021-04-15,Arunachal Pradesh,East Khasi Hills,27.84777,93.53655,16.7,63,201.6,103.2,35.1,175.6,7.6,2675.6,0.126,low,agriculture,175.6,1199.9,0.998,-0.578,0.708,0.364,3,2,1.41,0.267,low,0,train
NER-000106,2021-04-16,Assam,Aizawl,26.72715,92.42861,27.1,82,222.4,239.4,40.5,191.7,16.2,4044.5,0.115,low,barren slope,879,1554.3,3.299,-0.392,0.803,4.288,2,3,1,0.332,low,0,train
NER-000107,2021-04-17,Manipur,Kohima,24.96081,94.4115,104.9,349.8,950,275.2,70.9,238.2,43.3,394.3,0.084,medium,road corridor,425.4,691.5,0.96,0.097,0.779,1.391,2,2,4.31,0.798,high,0,train
NER-000108,2021-04-18,Meghalaya,West Sikkim,25.11472,91.51897,93,189.6,508.6,418.7,54.5,52,47.8,2059.4,0.82,medium,forest,1422.9,67.6,5.883,0.479,0.721,3.337,3,1,4.34,0.669,medium,1,train
NER-000109,2021-04-19,Mizoram,Lunglei,24.02252,92.41663,19.3,92,409.3,123.3,35.1,56.9,49,4088.3,0.887,low,forest,594.7,1206.2,1.924,0.267,0.945,2.04,1,3,1.32,0.456,medium,0,train
NER-000110,2021-04-20,Nagaland,North Tripura,26.43789,94.31122,38.6,108.6,436.3,316.9,50.3,135.8,3,231.2,0.271,low,settlement,271.3,332.8,7.304,0.459,0.225,2.673,2,1,4.34,0.361,low,0,train
NER-000111,2021-04-21,Sikkim,Tawang,27.08923,89.10809,28,81,176.8,209.4,38,188.3,41,3186.4,0.305,medium,road corridor,868.5,225.8,4.302,-0.538,0.408,3.501,4,0,3.47,0.46,medium,1,train
NER-000112,2021-04-22,Tripura,East Siang,23.85059,91.59645,77,223,525.8,387.5,57.9,71.4,5.9,1432.3,0.84,low,settlement,1248.4,678.9,1.671,0.712,0.367,4.173,0,2,4.23,0.456,medium,1,train
